"","Summer","Winter"
"Soviet Union",759.168524612915,141.106276659225
"United States",718.000538450223,-321.408168866093
"East Germany",338.181952990306,67.1385634048331
"Russia",310.957839507627,47.957666230065
"Germany",254.513382366436,81.8839481972559
"Australia",216.905059085691,-21.4161479460756
"Hungary",169.723004275576,-1.80519086211555
"Great Britain",147.538773614335,-75.3235155695925
"China",147.314906829813,-154.514431674089
"Romania",139.375930379271,-1.82750239971156
"West Germany",134.368748331964,-3.86143659516692
"Italy",134.16822974009,-6.97540794117855
"France",99.5365641071638,-38.9524332948813
"Poland",95.1846748929472,-7.83023912282535
"South Korea",89.3305903139673,5.79422513130691
"Cuba",87.2962971094305,NA
"Bulgaria",80.2089219920484,-5.02720424441131
"Ukraine",60.4768020545138,-5.97831438189445
"Belarus",26.2080703335994,-5.10002332577529
"Netherlands",11.6808675165154,27.7750721295588
"Canada",10.6739046004292,48.4322372219746
"Czechoslovakia",1.63455538353083,-1.25532981839972
"Kazakhstan",0.427436284205767,-3.33270615729373
"Tanzania",-7.90873640014626,NA
"Japan",-8.06794688058798,-182.517086670808
"Czech Republic",-8.4626128399422,2.63499075374302
"Tonga",-8.6187852995471,NA
"Bermuda",-8.61901444402201,NA
"Grenada",-8.62189221477013,NA
"United States Virgin Islands",-8.62424924153976,NA
"Djibouti",-8.62644503680106,NA
"Guyana",-8.63152305642495,NA
"Bahrain",-8.63672732914958,NA
"Barbados",-8.63716698324203,NA
"Montenegro",-8.64949824343166,NA
"Macedonia",-8.66765130368348,NA
"Mauritius",-8.68816597204982,NA
"Niger",-8.69316449336181,NA
"Eritrea",-8.69516027115258,NA
"Burundi",-8.71937099950615,NA
"Botswana",-8.7260183568325,NA
"Togo",-8.72696731949083,NA
"Iraq",-8.73937057074495,NA
"Gabon",-8.74117536353793,NA
"Paraguay",-8.75032301268631,NA
"Senegal",-8.75368631963702,NA
"Cyprus",-8.75706162001014,NA
"Panama",-8.79630150229453,NA
"Cote d'Ivoire",-8.806167726362,NA
"Sri Lanka",-9.00367614383628,NA
"Guatemala",-9.12433082063873,NA
"Sudan",-9.4420547811331,NA
"United Arab Emirates",-9.47391167675184,NA
"Yugoslavia",-10.1483809969754,-1.09647788850337
"Serbia",-12.9220769921516,NA
"Namibia",-15.3168646968666,NA
"Kyrgyzstan",-16.4274370700524,NA
"Tajikistan",-16.5372469666255,NA
"Suriname",-17.2533757463209,NA
"Lebanon",-17.3108269038484,NA
"Uruguay",-17.4602188447362,NA
"Zambia",-17.5106422258948,NA
"Kuwait",-17.5171936781236,NA
"Mozambique",-17.8171096979251,NA
"Ecuador",-18.1058571529097,NA
"Afghanistan",-18.2887740800419,NA
"Sweden",-18.6275278803204,37.4422803048191
"Serbia and Montenegro",-19.8936356405583,NA
"Vietnam",-20.4999976476278,NA
"Zimbabwe",-21.452927332174,NA
"Saudi Arabia",-21.8617508588015,NA
"Azerbaijan",-23.459005233688,NA
"Georgia",-23.6445325660047,NA
"Kenya",-24.8206811889459,NA
"Qatar",-25.0349289085225,NA
"Costa Rica",-25.1947894438871,NA
"Iceland",-26.0149272262601,NA
"Slovakia",-26.1334636195429,-2.04955131000612
"Armenia",-26.7913959616327,NA
"Syria",-26.8228554116175,NA
"Peru",-27.1986233713222,NA
"Singapore",-27.4933990266506,NA
"Hong Kong",-29.3736511048787,NA
"Uzbekistan",-30.7724319884465,-1.93771588954546
"Moldova",-31.7786721934876,NA
"Dominican Republic",-33.765859313507,NA
"Spain",-35.1189801688211,-7.8153045462812
"Ghana",-35.1329174907207,NA
"Chile",-35.5036941553258,NA
"Croatia",-36.3302878541606,1.50702296496767
"Estonia",-36.5349017728862,-0.848582434186221
"Egypt",-36.6845965806048,NA
"Malaysia",-37.7527837380059,NA
"Lithuania",-37.7800853715585,NA
"Philippines",-38.9574124943238,NA
"Slovenia",-39.8999629804572,-1.10396941465854
"New Zealand",-40.3332180084959,-1.7959012989106
"Latvia",-42.4259756714591,-2.34372184577784
"North Korea",-42.4806547673974,-3.55353728671531
"Puerto Rico",-42.4874504225425,NA
"Uganda",-42.6376520978759,NA
"Cameroon",-44.4842944758626,NA
"Israel",-44.9485941612927,NA
"Algeria",-48.7430384428564,NA
"Tunisia",-49.0204121354006,NA
"South Africa",-50.7631771193018,NA
"Trinidad and Tobago",-52.884702488082,NA
"Bahamas",-56.543619804075,NA
"Jamaica",-57.225902680075,NA
"Ireland",-62.4318356789147,NA
"Denmark",-64.14131619215,-2.54089021994861
"Norway",-66.4826577944364,170.86291905828
"Colombia",-67.7603885892988,NA
"Finland",-69.0093517001633,67.1871343337881
"Nigeria",-69.091838654252,NA
"Greece",-69.8446590684505,NA
"Ethiopia",-70.1681950209004,NA
"Morocco",-70.2517016421743,NA
"Mongolia",-72.6082214151378,NA
"Venezuela",-73.5872647763216,NA
"Indonesia",-75.5332582986677,NA
"Turkey",-75.8616355981331,NA
"Portugal",-76.3277137409303,NA
"Thailand",-78.0362324875762,NA
"Pakistan",-78.1538075609151,NA
"Switzerland",-82.2959196556517,53.4039247576585
"Iran",-82.7767961356034,NA
"Argentina",-89.7910568749739,NA
"Austria",-89.9911678405689,113.837514195688
"Belgium",-104.988308665647,-3.06137654208398
"Brazil",-105.396133768905,NA
"Mexico",-132.609899892618,NA
"India",-236.401681644963,NA
"Liechtenstein",NA,-1.08472597950592
"Luxembourg",NA,-0.606881816727308
