Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,Afghanistan,AFG,537777812,8774440,Afghanistan,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,12.92145452,19,301
1960,YR1960,Albania,ALB,,1618829,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,11.26980007,19,301
1960,YR1960,Algeria,DZA,2723637620,11277757,Algeria,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,22.57579114,19,301
1960,YR1960,American Samoa,ASM,,20012,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Andorra,ADO,,13414,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Angola,AGO,,4965988,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.51093269,19,301
1960,YR1960,Antigua and Barbuda,ATG,,54681,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Argentina,ARG,,20623998,Argentina,Summer,1960,Roma,Italy,28,0,1,1,2,1,0,2,14.21522492,19,301
1960,YR1960,Armenia,ARM,,1867396,Armenia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,6.374361625,19,301
1960,YR1960,Aruba,ABW,,54208,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Australia,AUS,18609026767,10276477,Australia,Summer,1960,Roma,Italy,5,8,8,6,22,1,0,22,21.50667634,19,301
1960,YR1960,Austria,AUT,6592693841,7047539,Austria,Summer,1960,Roma,Italy,25,1,1,0,2,1,0,2,6.186012748,19,301
1960,YR1960,Azerbaijan,AZE,,3897889,Azerbaijan,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,12.22434447,19,301
1960,YR1960,"Bahamas, The",BHS,169802258,109526,Bahamas,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.06333351,19,301
1960,YR1960,Bahrain,BHR,,162501,Bahrain,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Bangladesh,BGD,4274893910,49537147,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.4709131,19,301
1960,YR1960,Barbados,BRB,87383114,230858,Barbados,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Belarus,BLR,,8198000,Belarus,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,6.294930099,19,301
1960,YR1960,Belgium,BEL,11658722591,9153489,Belgium,Summer,1960,Roma,Italy,19,0,2,2,4,1,0,4,9.514241274,19,301
1960,YR1960,Belize,BLZ,28072505,92068,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.06433296,19,301
1960,YR1960,Benin,BEN,226195578,2431620,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,27.46155267,19,301
1960,YR1960,Bermuda,BMU,84466654,44400,Bermuda,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Bhutan,BTN,,224155,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,8.57504293,19,301
1960,YR1960,Bolivia,BOL,563110052,3353125,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,20.97503004,19,301
1960,YR1960,Bosnia and Herzegovina,BIH,,3305501,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,9.016531835,19,301
1960,YR1960,Botswana,BWA,30411450,524173,Botswana,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,21.47853885,19,301
1960,YR1960,Brazil,BRA,15165569913,72775883,Brazil,Summer,1960,Roma,Italy,29,0,0,2,2,1,0,2,24.91577183,19,301
1960,YR1960,Brunei Darussalam,BRN,,81817,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,25.93400002,19,301
1960,YR1960,Bulgaria,BGR,,7867374,Bulgaria,Summer,1960,Roma,Italy,13,1,3,3,7,1,0,7,10.39676164,19,301
1960,YR1960,Burkina Faso,BFA,330442815,4829291,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,28.17636051,19,301
