GameType, Year, locCity, locCountry, Rank, partCountry, Gold, Silver, Bronze, Total,Wbcountry,GDP,Pop
Summer,2012,London,Great Britain,1,United States,46,29,29,104,United States,16244600000000,313914040
Summer,2012,London,Great Britain,2,China,38,27,23,88,China,8227102629831,1350695000
Summer,2012,London,Great Britain,3,Russia,24,26,32,82,Russian Federation,2014774938342,143533000
Summer,2012,London,Great Britain,4,Great Britain,29,17,19,65,United Kingdom,2471783570300,63227526
Summer,2012,London,Great Britain,5,Germany,11,19,14,44,Germany,3428130624839,81889839
Summer,2012,London,Great Britain,6,Japan,7,14,17,38,Japan,5959718262199,127561489
Summer,2012,London,Great Britain,7,Australia,7,16,12,35,Australia,1532407884934,22683600
Summer,2012,London,Great Britain,8,France,11,11,12,34,France,2612878387760,65696689
Summer,2012,London,Great Britain,9,South Korea,13,8,7,28,"Korea, Rep.",1129598273324,50004000
Summer,2012,London,Great Britain,10,Italy,8,9,11,28,Italy,2014669579720,60917978
Summer,2012,London,Great Britain,11,Netherlands,6,6,8,20,Netherlands,770555412702,16767705
Summer,2012,London,Great Britain,12,Ukraine,6,5,9,20,Ukraine,176308825694,45593300
Summer,2012,London,Great Britain,13,Hungary,8,4,6,18,Hungary,124600486886,9943755
Summer,2012,London,Great Britain,14,Canada,1,5,12,18,Canada,1821424139311,34880491
Summer,2012,London,Great Britain,15,Spain,3,10,4,17,Spain,1322964772435,46217961
Summer,2012,London,Great Britain,16,Brazil,3,5,9,17,Brazil,2252664120777,198656019
Summer,2012,London,Great Britain,17,Cuba,5,3,6,14,Cuba,0,11270957
Summer,2012,London,Great Britain,18,Kazakhstan,7,1,5,13,Kazakhstan,203520610288,16797459
Summer,2012,London,Great Britain,19,New Zealand,6,2,5,13,New Zealand,167347054534,4433100
Summer,2012,London,Great Britain,20,Iran,4,5,3,12,"Iran, Islamic Rep.",0,76424443
Summer,2012,London,Great Britain,21,Jamaica,4,4,4,12,Jamaica,14755051129,2712100
Summer,2012,London,Great Britain,22,Belarus,2,5,5,12,Belarus,63267017440,9464000
