"","GameType","Year","locCity","locCountry","Rank","partCountry","Gold","Silver","Bronze","Total","Wbcountry","GDP","Pop","winter1var","gdppercap"
"1","Summer",2012,"London","Great Britain",1,"United States",46,29,29,104,"United States",1.62446e+13,313914040,0,51748.561485176
"2","Summer",2012,"London","Great Britain",2,"China",38,27,23,88,"China",8227102629831,1350695000,0,6091.01435174558
"3","Summer",2012,"London","Great Britain",3,"Russia",24,26,32,82,"Russian Federation",2014774938342,143533000,0,14037.0154483081
"4","Summer",2012,"London","Great Britain",4,"Great Britain",29,17,19,65,"United Kingdom",2471783570300,63227526,0,39093.47283808
"5","Summer",2012,"London","Great Britain",5,"Germany",11,19,14,44,"Germany",3428130624839,81889839,0,41862.7105230846
"6","Summer",2012,"London","Great Britain",6,"Japan",7,14,17,38,"Japan",5959718262199,127561489,0,46720.3566603005
"7","Summer",2012,"London","Great Britain",7,"Australia",7,16,12,35,"Australia",1532407884934,22683600,0,67555.7620895272
"8","Summer",2012,"London","Great Britain",8,"France",11,11,12,34,"France",2612878387760,65696689,0,39771.8428056549
"9","Summer",2012,"London","Great Britain",9,"South Korea",13,8,7,28,"Korea, Rep.",1129598273324,50004000,0,22590.1582538197
"10","Summer",2012,"London","Great Britain",10,"Italy",8,9,11,28,"Italy",2014669579720,60917978,0,33071.839313511
"11","Summer",2012,"London","Great Britain",11,"Netherlands",6,6,8,20,"Netherlands",770555412702,16767705,0,45954.7333819387
"12","Summer",2012,"London","Great Britain",12,"Ukraine",6,5,9,20,"Ukraine",176308825694,45593300,0,3866.98979222824
"13","Summer",2012,"London","Great Britain",13,"Hungary",8,4,6,18,"Hungary",124600486886,9943755,0,12530.5266356623
"14","Summer",2012,"London","Great Britain",14,"Canada",1,5,12,18,"Canada",1821424139311,34880491,0,52218.9936864994
"15","Summer",2012,"London","Great Britain",15,"Spain",3,10,4,17,"Spain",1322964772435,46217961,0,28624.4729064313
"16","Summer",2012,"London","Great Britain",16,"Brazil",3,5,9,17,"Brazil",2252664120777,198656019,0,11339.5211084795
"17","Summer",2012,"London","Great Britain",17,"Cuba",5,3,6,14,"Cuba",0,11270957,0,0
"18","Summer",2012,"London","Great Britain",18,"Kazakhstan",7,1,5,13,"Kazakhstan",203520610288,16797459,0,12116.154609337
"19","Summer",2012,"London","Great Britain",19,"New Zealand",6,2,5,13,"New Zealand",167347054534,4433100,0,37749.4427226997
"20","Summer",2012,"London","Great Britain",20,"Iran",4,5,3,12,"Iran, Islamic Rep.",0,76424443,0,0
"21","Summer",2012,"London","Great Britain",21,"Jamaica",4,4,4,12,"Jamaica",14755051129,2712100,0,5440.4524645109
"22","Summer",2012,"London","Great Britain",22,"Belarus",2,5,5,12,"Belarus",63267017440,9464000,0,6685.01874894336
"23","Summer",2012,"London","Great Britain",23,"Kenya",2,4,5,11,"Kenya",40697163224,43178141,0,942.540884842634
"24","Summer",2012,"London","Great Britain",24,"Czech Republic",4,3,3,10,"Czech Republic",196446226536,10514810,0,18682.8127694176
"25","Summer",2012,"London","Great Britain",25,"Azerbaijan",2,2,6,10,"Azerbaijan",66604589419,9297507,0,7163.70414337951
"26","Summer",2012,"London","Great Britain",26,"Poland",2,2,6,10,"Poland",489795486644,38542737,0,12707.8543136156
"27","Summer",2012,"London","Great Britain",27,"Romania",2,5,2,9,"Romania",192710684930,21326905,0,9036.03616792966
"28","Summer",2012,"London","Great Britain",28,"Denmark",2,4,3,9,"Denmark",314887354338,5590478,0,56325.6584388669
"29","Summer",2012,"London","Great Britain",29,"Sweden",1,4,3,8,"Sweden",523805608856,9516617,0,55041.1568371408
"30","Summer",2012,"London","Great Britain",30,"Colombia",1,3,4,8,"Colombia",369606330702,47704427,0,7747.84132093233
"31","Summer",2012,"London","Great Britain",31,"Ethiopia",3,1,3,7,"Ethiopia",41605361646,91728849,0,453.568992738588
"32","Summer",2012,"London","Great Britain",32,"Mexico",1,3,3,7,"Mexico",1178126184343,120847477,0,9748.86868629454
"33","Summer",2012,"London","Great Britain",33,"Georgia",1,3,3,7,"Georgia",15747288816,4511800,0,3490.24531583847
"34","Summer",2012,"London","Great Britain",34,"North Korea",4,0,2,6,"Korea, Dem. Rep.",0,24763188,0,0
"35","Summer",2012,"London","Great Britain",35,"South Africa",3,2,1,6,"South Africa",384312674446,51189307,0,7507.67488307665
"36","Summer",2012,"London","Great Britain",36,"Croatia",3,1,2,6,"Croatia",59228247411,4267000,0,13880.5360700727
"37","Summer",2012,"London","Great Britain",37,"India",0,2,4,6,"India",1841709755679,1236686732,0,1489.22900846566
"38","Summer",2012,"London","Great Britain",38,"Turkey",2,2,1,5,"Turkey",789257487307,73997128,0,10666.0556786339
"39","Summer",2012,"London","Great Britain",39,"Lithuania",2,1,2,5,"Lithuania",42343521966,2985509,0,14183.0160170343
"40","Summer",2012,"London","Great Britain",40,"Ireland",1,1,3,5,"Ireland",210771406836,4588798,0,45931.7247863166
"41","Summer",2012,"London","Great Britain",41,"Mongolia",0,2,3,5,"Mongolia",10271393281,2796484,0,3672.96694027214
"42","Summer",2012,"London","Great Britain",42,"Switzerland",2,2,0,4,"Switzerland",631173029582,7997152,0,78924.7259001705
"43","Summer",2012,"London","Great Britain",43,"Norway",2,1,1,4,"Norway",499667211001,5018869,0,99557.7312340689
"44","Summer",2012,"London","Great Britain",44,"Slovenia",1,1,2,4,"Slovenia",45279487180,2058152,0,22000.0695672623
"45","Summer",2012,"London","Great Britain",45,"Argentina",1,1,2,4,"Argentina",475501675473,41086927,0,11573.0649671853
"46","Summer",2012,"London","Great Britain",46,"Serbia",1,1,2,4,"Serbia",37488935010,7223887,0,5189.57937880258
"47","Summer",2012,"London","Great Britain",47,"Trinidad and Tobago",1,0,3,4,"Trinidad and Tobago",23320256743,1337439,0,17436.5012108963
"48","Summer",2012,"London","Great Britain",48,"Slovakia",0,1,3,4,"Slovak Republic",91148717949,5410267,0,16847.3603888681
"49","Summer",2012,"London","Great Britain",49,"Tunisia",1,1,1,3,"Tunisia",45662043358,10777500,0,4236.79363099049
"50","Summer",2012,"London","Great Britain",50,"Uzbekistan",1,0,2,3,"Uzbekistan",51112745669,29776850,0,1716.52628363981
"51","Summer",2012,"London","Great Britain",51,"Thailand",0,2,1,3,"Thailand",365965815820,66785001,0,5479.76058007396
"52","Summer",2012,"London","Great Britain",52,"Belgium",0,1,2,3,"Belgium",483261763950,11142157,0,43372.3707133188
"53","Summer",2012,"London","Great Britain",53,"Armenia",0,1,2,3,"Armenia",9950522733,2969081,0,3351.38136446934
"54","Summer",2012,"London","Great Britain",54,"Finland",0,1,2,3,"Finland",247545641553,5414293,0,45720.7693697035
"55","Summer",2012,"London","Great Britain",55,"Dominican Republic",1,1,0,2,"Dominican Republic",59047202158,10276621,0,5745.7798782304
"56","Summer",2012,"London","Great Britain",56,"Latvia",1,0,1,2,"Latvia",28372577697,2025473,0,14007.877516511
"57","Summer",2012,"London","Great Britain",57,"Egypt",0,2,0,2,"Egypt, Arab Rep.",262831912587,80721874,0,3256.0184688849
"58","Summer",2012,"London","Great Britain",59,"Indonesia",0,1,1,2,"Indonesia",878043027882,246864191,0,3556.78571414191
"59","Summer",2012,"London","Great Britain",60,"Puerto Rico",0,1,1,2,"Puerto Rico",101495811266,3667084,0,27677.5255941778
"60","Summer",2012,"London","Great Britain",61,"Estonia",0,1,1,2,"Estonia",22390242609,1339396,0,16716.6712525646
"61","Summer",2012,"London","Great Britain",62,"Bulgaria",0,1,1,2,"Bulgaria",50972109857,7304632,0,6978.05308426215
"62","Summer",2012,"London","Great Britain",63,"Malaysia",0,1,1,2,"Malaysia",305032745225,29239927,0,10432.0624748824
