GameType, Year, locCity, locCountry, Rank, partCountry, Gold, Silver, Bronze, Total
Winter,2010,Vancouver,Canada,1,United States,9,15,13,37
Winter,2010,Vancouver,Canada,2,Germany,10,13,7,30
Winter,2010,Vancouver,Canada,3,Canada,14,7,5,26
Winter,2010,Vancouver,Canada,4,Norway,9,8,6,23
Winter,2010,Vancouver,Canada,5,Austria,4,6,6,16
Winter,2010,Vancouver,Canada,6,Russia,3,5,7,15
Winter,2010,Vancouver,Canada,7,South Korea,6,6,2,14
Winter,2010,Vancouver,Canada,8,Sweden,5,2,4,11
Winter,2010,Vancouver,Canada,9,China,5,2,4,11
Winter,2010,Vancouver,Canada,10,France,2,3,6,11
Winter,2010,Vancouver,Canada,11,Switzerland,6,0,3,9
Winter,2010,Vancouver,Canada,12,Netherlands,4,1,3,8
Winter,2010,Vancouver,Canada,13,Czech Republic,2,0,4,6
Winter,2010,Vancouver,Canada,14,Poland,1,3,2,6
Winter,2010,Vancouver,Canada,15,Italy,1,1,3,5
Winter,2010,Vancouver,Canada,16,Japan,0,3,2,5
Winter,2010,Vancouver,Canada,17,Finland,0,1,4,5
Winter,2010,Vancouver,Canada,18,Australia,2,1,0,3
Winter,2010,Vancouver,Canada,19,Slovakia,1,1,1,3
Winter,2010,Vancouver,Canada,20,Belarus,1,1,1,3
Winter,2010,Vancouver,Canada,21,Croatia,0,2,1,3
Winter,2010,Vancouver,Canada,22,Slovenia,0,2,1,3
Winter,2010,Vancouver,Canada,23,Latvia,0,2,0,2
Winter,2010,Vancouver,Canada,24,Great Britain,1,0,0,1
Winter,2010,Vancouver,Canada,25,Kazakhstan,0,1,0,1
Winter,2010,Vancouver,Canada,26,Estonia,0,1,0,1
Winter,2006,Torino,Italy,1,Germany,11,12,6,29
Winter,2006,Torino,Italy,2,United States,9,9,7,25
Winter,2006,Torino,Italy,3,Canada,7,10,7,24
Winter,2006,Torino,Italy,4,Austria,9,7,7,23
Winter,2006,Torino,Italy,5,Russia,8,6,8,22
Winter,2006,Torino,Italy,6,Norway,2,8,9,19
Winter,2006,Torino,Italy,7,Sweden,7,2,5,14
Winter,2006,Torino,Italy,8,Switzerland,5,4,5,14
Winter,2006,Torino,Italy,9,South Korea,6,3,2,11
Winter,2006,Torino,Italy,10,Italy,5,0,6,11
Winter,2006,Torino,Italy,11,China,2,4,5,11
Winter,2006,Torino,Italy,12,France,3,2,4,9
Winter,2006,Torino,Italy,13,Netherlands,3,2,4,9
Winter,2006,Torino,Italy,14,Finland,0,6,3,9
Winter,2006,Torino,Italy,15,Czech Republic,1,2,1,4
Winter,2006,Torino,Italy,16,Estonia,3,0,0,3
Winter,2006,Torino,Italy,17,Croatia,1,2,0,3
Winter,2006,Torino,Italy,18,Australia,1,0,1,2
Winter,2006,Torino,Italy,19,Poland,0,1,1,2
Winter,2006,Torino,Italy,20,Ukraine,0,0,2,2
Winter,2006,Torino,Italy,21,Japan,1,0,0,1
Winter,2006,Torino,Italy,22,Great Britain,0,1,0,1
Winter,2006,Torino,Italy,23,Slovakia,0,1,0,1
Winter,2006,Torino,Italy,24,Bulgaria,0,1,0,1
Winter,2006,Torino,Italy,25,Belarus,0,1,0,1
Winter,2006,Torino,Italy,26,Latvia,0,0,1,1
Winter,2002,Salt Lake City,United States,1,Germany,12,16,8,36
Winter,2002,Salt Lake City,United States,2,United States,10,13,11,34
Winter,2002,Salt Lake City,United States,3,Norway,13,5,7,25
Winter,2002,Salt Lake City,United States,4,Canada,7,3,7,17
Winter,2002,Salt Lake City,United States,5,Austria,3,4,10,17
Winter,2002,Salt Lake City,United States,6,Russia,5,4,4,13
Winter,2002,Salt Lake City,United States,7,Italy,4,4,5,13
Winter,2002,Salt Lake City,United States,8,France,4,5,2,11
Winter,2002,Salt Lake City,United States,9,Switzerland,3,2,6,11
Winter,2002,Salt Lake City,United States,10,Netherlands,3,5,0,8
Winter,2002,Salt Lake City,United States,11,China,2,2,4,8
Winter,2002,Salt Lake City,United States,12,Finland,4,2,1,7
Winter,2002,Salt Lake City,United States,13,Sweden,0,2,5,7
Winter,2002,Salt Lake City,United States,14,Croatia,3,1,0,4
Winter,2002,Salt Lake City,United States,15,South Korea,2,2,0,4
Winter,2002,Salt Lake City,United States,16,Czech Republic,1,2,0,3
Winter,2002,Salt Lake City,United States,17,Estonia,1,1,1,3
Winter,2002,Salt Lake City,United States,18,Bulgaria,0,1,2,3
Winter,2002,Salt Lake City,United States,19,Australia,2,0,0,2
Winter,2002,Salt Lake City,United States,20,Great Britain,1,0,1,2
Winter,2002,Salt Lake City,United States,21,Poland,0,1,1,2
Winter,2002,Salt Lake City,United States,22,Japan,0,1,1,2
Winter,2002,Salt Lake City,United States,23,Belarus,0,0,1,1
Winter,2002,Salt Lake City,United States,24,Slovenia,0,0,1,1
Winter,1998,Nagano,Japan,1,Germany,12,9,8,29
Winter,1998,Nagano,Japan,2,Norway,10,10,5,25
Winter,1998,Nagano,Japan,3,Russia,9,6,3,18
Winter,1998,Nagano,Japan,4,Austria,3,5,9,17
Winter,1998,Nagano,Japan,5,Canada,6,5,4,15
Winter,1998,Nagano,Japan,6,United States,6,3,4,13
Winter,1998,Nagano,Japan,7,Finland,2,4,6,12
Winter,1998,Nagano,Japan,8,Netherlands,5,4,2,11
Winter,1998,Nagano,Japan,9,Japan,5,1,4,10
Winter,1998,Nagano,Japan,10,Italy,2,6,2,10
Winter,1998,Nagano,Japan,11,France,2,1,5,8
Winter,1998,Nagano,Japan,12,China,0,6,2,8
Winter,1998,Nagano,Japan,13,Switzerland,2,2,3,7
Winter,1998,Nagano,Japan,14,South Korea,3,1,2,6
Winter,1998,Nagano,Japan,15,Czech Republic,1,1,1,3
Winter,1998,Nagano,Japan,16,Sweden,0,2,1,3
Winter,1998,Nagano,Japan,17,Belarus,0,0,2,2
Winter,1998,Nagano,Japan,18,Kazakhstan,0,0,2,2
Winter,1998,Nagano,Japan,19,Bulgaria,1,0,0,1
Winter,1998,Nagano,Japan,20,Denmark,0,1,0,1
Winter,1998,Nagano,Japan,21,Ukraine,0,1,0,1
Winter,1998,Nagano,Japan,22,Great Britain,0,0,1,1
Winter,1998,Nagano,Japan,23,Australia,0,0,1,1
Winter,1998,Nagano,Japan,24,Belgium,0,0,1,1
Winter,1994,Lillehammer,Norway,1,Norway,10,11,5,26
Winter,1994,Lillehammer,Norway,2,Germany,9,7,8,24
Winter,1994,Lillehammer,Norway,3,Russia,11,8,4,23
Winter,1994,Lillehammer,Norway,4,Italy,7,5,8,20
Winter,1994,Lillehammer,Norway,5,United States,6,5,2,13
Winter,1994,Lillehammer,Norway,6,Canada,3,6,4,13
Winter,1994,Lillehammer,Norway,7,Switzerland,3,4,2,9
Winter,1994,Lillehammer,Norway,8,Austria,2,3,4,9
Winter,1994,Lillehammer,Norway,9,South Korea,4,1,1,6
Winter,1994,Lillehammer,Norway,10,Finland,0,1,5,6
Winter,1994,Lillehammer,Norway,11,Japan,1,2,2,5
Winter,1994,Lillehammer,Norway,12,France,0,1,4,5
Winter,1994,Lillehammer,Norway,13,Netherlands,0,1,3,4
Winter,1994,Lillehammer,Norway,14,Sweden,2,1,0,3
Winter,1994,Lillehammer,Norway,15,Kazakhstan,1,2,0,3
Winter,1994,Lillehammer,Norway,16,China,0,1,2,3
Winter,1994,Lillehammer,Norway,17,Slovenia,0,0,3,3
Winter,1994,Lillehammer,Norway,18,Ukraine,1,0,1,2
Winter,1994,Lillehammer,Norway,19,Belarus,0,2,0,2
Winter,1994,Lillehammer,Norway,20,Great Britain,0,0,2,2
