"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"5780",2010,"Albania",0,0,0.306212996102341,0,0,0,"Vancouver"
"5994",2014,"Albania",0,0,-0.0915458676136357,0,0,0,"Sochi"
"5567",2006,"Algeria",0,0,-0.39603557319405,0,0,0,"Torino"
"5781",2010,"Algeria",0,0,-0.274263252708089,0,0,0,"Vancouver"
"3218",1964,"Argentina",0,1,-1.22149695642345,0,0,0,"Innsbruck"
"3432",1968,"Argentina",0,1,-0.59206539930102,0,0,0,"Grenoble"
"3646",1972,"Argentina",0,0,0.456179878065375,0,0,0,"Sapporo"
"3860",1976,"Argentina",0,0,0.214341793236524,0,0,0,"Innsbruck"
"4074",1980,"Argentina",0,0,-0.42753663381386,0,0,0,"Lake Placid"
"4288",1984,"Argentina",0,0,0.0141515839787527,0,0,0,"Sarajevo"
"4502",1988,"Argentina",0,1,-0.508930993948492,0,0,0,"Calgary"
"4716",1992,"Argentina",0,1,-1.46804801848455,0,0,0,"Albertville"
"4930",1994,"Argentina",0,1,-0.70246652270863,0,0,0,"Lillehammer"
"5144",1998,"Argentina",0,1,-0.999541289485143,0,0,0,"Nagano"
"5358",2002,"Argentina",0,1,-0.673948181661566,0,0,0,"Salt Lake City"
"5572",2006,"Argentina",0,1,-0.613701434016906,0,0,0,"Torino"
"5786",2010,"Argentina",0,1,-0.587685969062229,0,0,0,"Vancouver"
"6000",2014,"Argentina",0,1,-0.985444832778124,0,0,0,"Sochi"
"5145",1998,"Armenia",0,0,0.559575603183757,0,0,0,"Nagano"
"5359",2002,"Armenia",0,0,0.355322211965594,0,0,0,"Salt Lake City"
"5573",2006,"Armenia",0,0,0.307783275757179,0,0,0,"Torino"
"5787",2010,"Armenia",0,0,0.393285222591732,0,0,0,"Vancouver"
"6001",2014,"Armenia",0,0,-0.00447364112416334,0,0,0,"Sochi"
"3221",1964,"Australia",0,1,-1.31819945968822,0,0,0,"Innsbruck"
"3435",1968,"Australia",0,1,-0.799772033943733,0,0,0,"Grenoble"
"3649",1972,"Australia",0,0,0.177833816415058,0,0,0,"Sapporo"
"3863",1976,"Australia",0,0,-0.189938439859028,0,0,0,"Innsbruck"
"4077",1980,"Australia",0,1,-0.813724812435447,0,0,0,"Lake Placid"
"4291",1984,"Australia",0,0,-0.463677378884367,0,0,0,"Sarajevo"
"4505",1988,"Australia",0,1,-0.880717074477527,0,0,0,"Calgary"
"4719",1992,"Australia",0,2,-1.72914260851053,0,0,0,"Albertville"
"4933",1994,"Australia",1,1,0.085538836769293,0,0,1,"Lillehammer"
"5147",1998,"Australia",1,2,-1.14082534408499,0,0,1,"Nagano"
"5361",2002,"Australia",2,2,-0.236528193074244,2,0,0,"Salt Lake City"
"5575",2006,"Australia",2,3,-1.03639779764213,1,0,1,"Torino"
"5789",2010,"Australia",3,3,0.0428353784032881,2,1,0,"Vancouver"
"6003",2014,"Australia",3,4,-1.25856074985125,0,2,1,"Sochi"
"3222",1964,"Austria",12,6,5.55868596546267,4,5,3,"Innsbruck"
"3436",1968,"Austria",11,11,-0.348263480494804,3,4,4,"Grenoble"
"3650",1972,"Austria",5,10,-4.52015703623848,1,2,2,"Sapporo"
"3864",1976,"Austria",6,4,1.5369566266289,2,2,2,"Innsbruck"
"4078",1980,"Austria",7,6,0.884769337555083,3,2,2,"Lake Placid"
"4292",1984,"Austria",1,7,-5.50245459985731,0,0,1,"Sarajevo"
"4506",1988,"Austria",10,2,8.30373383163369,3,5,2,"Calgary"
"4720",1992,"Austria",21,11,10.2930417809582,6,7,8,"Albertville"
