"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"215",1964,"Afghanistan",0,0,-0.285142046534209,0,0,0,"Tokyo"
"429",1968,"Afghanistan",0,0,-0.138357779294926,0,0,0,"Ciudad de Mexico"
"643",1972,"Afghanistan",0,0,0.0509309807054372,0,0,0,"Munchen"
"1071",1980,"Afghanistan",0,1,-0.896323116803678,0,0,0,"Moskva"
"2355",2004,"Afghanistan",0,0,0.00437227975295139,0,0,0,"Athina"
"2569",2008,"Afghanistan",1,0,0.80923006455972,0,0,1,"Beijing"
"2783",2012,"Afghanistan",1,1,-0.181621569341231,0,0,1,"London"
"1714",1992,"Albania",0,0,-0.169613997786314,0,0,0,"Barcelona"
"1928",1996,"Albania",0,0,0.0973904531347555,0,0,0,"Atlanta"
"2142",2000,"Albania",0,0,-0.388180199769585,0,0,0,"Sydney"
"2356",2004,"Albania",0,0,-0.0854915303054261,0,0,0,"Athina"
"2570",2008,"Albania",0,0,-0.247494958608029,0,0,0,"Beijing"
"2784",2012,"Albania",0,0,-0.0801008437526987,0,0,0,"London"
"431",1968,"Algeria",0,0,-0.457924594735453,0,0,0,"Ciudad de Mexico"
"645",1972,"Algeria",0,0,-0.395612831063433,0,0,0,"Munchen"
"1073",1980,"Algeria",0,2,-1.65419435565422,0,0,0,"Moskva"
"1287",1984,"Algeria",2,3,-1.02177550697148,0,0,2,"Los Angeles"
"1501",1988,"Algeria",0,1,-0.735557830330204,0,0,0,"Seoul"
"1715",1992,"Algeria",2,1,0.517065057084231,1,0,1,"Barcelona"
"1929",1996,"Algeria",3,3,0.365339170897065,2,0,1,"Atlanta"
"2143",2000,"Algeria",5,4,0.958876478358302,1,1,3,"Sydney"
"2357",2004,"Algeria",0,6,-5.527946626856,0,0,0,"Athina"
"2571",2008,"Algeria",2,1,0.939429856272352,0,1,1,"Beijing"
"2785",2012,"Algeria",1,3,-1.82802819070234,1,0,0,"London"
"1504",1988,"Angola",0,0,1.75767461921388,0,0,0,"Seoul"
"1718",1992,"Angola",0,1,-0.824276831380981,0,0,0,"Barcelona"
"1932",1996,"Angola",0,0,-0.194884391764982,0,0,0,"Atlanta"
"2146",2000,"Angola",0,1,-0.678801912771222,0,0,0,"Sydney"
"2360",2004,"Angola",0,0,-0.396109207254223,0,0,0,"Athina"
"2574",2008,"Angola",0,1,-0.837130241173101,0,0,0,"Beijing"
"2788",2012,"Angola",0,1,-0.772147199467557,0,0,0,"London"
"222",1964,"Argentina",1,3,-2.22767792705146,0,1,0,"Tokyo"
"436",1968,"Argentina",2,2,0.0105806874875045,0,0,2,"Ciudad de Mexico"
"650",1972,"Argentina",1,3,-1.77239699403729,0,1,0,"Munchen"
"864",1976,"Argentina",0,1,-1.17124488817428,0,0,0,"Montreal"
"1292",1984,"Argentina",0,3,-3.14332511661256,0,0,0,"Los Angeles"
"1506",1988,"Argentina",2,0,2.89863675854785,0,1,1,"Seoul"
"1720",1992,"Argentina",1,4,-2.8344664797591,0,0,1,"Barcelona"
"1934",1996,"Argentina",3,2,0.7581660742983,0,2,1,"Atlanta"
"2148",2000,"Argentina",4,5,-0.548742320337016,0,2,2,"Sydney"
