Year,City,Country,Countries,Participants,Men,Women,Sports,Events
2012,London,Great Britain,205,10765,5991,4774,32,302
2008,Beijing,China,205,11126,6415,4711,35,303
2004,Athina,Greece,201,10714,6353,4361,34,301
2000,Sydney,Australia,200,10800,6672,4128,34,300
1996,Atlanta,United States,197,10472,6914,3558,31,271
1992,Barcelona,Spain,169,9812,7017,2795,32,257
1988,Seoul,South Korea,159,8938,6595,2342,30,237
1984,Los Angeles,United States,140,7097,5472,1625,27,221
1980,Moskva,Soviet Union,80,5279,4151,1128,23,203
1976,Montreal,Canada,106,6194,4934,1260,23,198
1972,Munchen,West Germany,121,7232,6156,1076,25,195
1968,Ciudad de Mexico,Mexico,112,5733,4937,796,22,172
1964,Tokyo,Japan,93,5283,4603,680,22,163
1960,Roma,Italy,83,5459,4847,612,19,150
1956,Melbourne,Australia,68,3333,2961,371,20,145
1952,Helsinki,Finland,69,5223,4702,521,21,149
1948,London,Great Britain,59,4675,4235,440,21,149
1936,Berlin,Germany,50,4764,4402,362,26,143
1932,Los Angeles,United States,47,1995,1793,202,20,126
1928,Amsterdam,Netherlands,46,3530,3207,323,20,120
1924,Paris,France,45,3577,3424,152,24,130
1920,Antwerpen,Belgium,29,2809,2706,103,26,160
1912,Stockholm,Sweden,29,2489,2436,53,19,107
1908,London,Great Britain,23,2123,2079,44,26,109
1906,Athina,Greece,21,854,848,6,13,74
1904,St. Louis,United States,15,697,691,6,19,95
1900,Paris,France,33,1601,1574,27,24,95
1896,Athina,Greece,12,176,176,0,9,43
