"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"215",1964,"YR1964","Afghanistan","AFG",800000046,9547131,"Afghanistan","Summer",1964,"Tokyo","Japan",0,0,0,0,0,1,0,0,12.92145452,22,339,16.071751248474,20.5001223431322,4.42837109465824,0,0,-0.285142046534209
"429",1968,"YR1968","Afghanistan","AFG",1373333367,10465770,"Afghanistan","Summer",1968,"Ciudad de Mexico","Mexico",0,0,0,0,0,1,0,0,12.92145452,22,363,16.1636204897508,21.0405067361543,4.87688624640352,0,0,-0.138357779294926
"643",1972,"YR1972","Afghanistan","AFG",1595555476,11644377,"Afghanistan","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,12.92145452,25,382,16.2703339605135,21.1904877733695,4.92015381285605,0,0,0.0509309807054372
"1071",1980,"YR1980","Afghanistan","AFG",3641723447,13180431,"Afghanistan","Summer",1980,"Moskva","Soviet Union",0,0,0,0,0,1,0,0,12.92145452,23,287,16.3942437875662,22.015722880992,5.62147909342577,0,1,-0.896323116803678
"2355",2004,"YR2004","Afghanistan","AFG",5285461999,24018682,"Afghanistan","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,12.92145452,34,920,16.9943425021698,22.3882258694773,5.39388336730753,0,0,0.00437227975295139
"2569",2008,"YR2008","Afghanistan","AFG",10190534636,27032197,"Afghanistan","Summer",2008,"Beijing","China",82,0,0,1,1,1,0,1,12.92145452,35,954,17.1125391950088,23.0447251495368,5.93218595452803,0,0,0.80923006455972
"2783",2012,"YR2012","Afghanistan","AFG",20496777409,29824536,"Afghanistan","Summer",2012,"London","Great Britain",80,0,0,1,1,1,0,1,12.92145452,32,960,17.210841968409,23.7435335111727,6.53269154276369,1,1,-0.181621569341231
"1714",1992,"YR1992","Albania","ALB",709452573,3446858,"","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,11.26980007,32,692,15.0529736494082,20.3800042066641,5.32703055725592,0,0,-0.169613997786314
"1928",1996,"YR1996","Albania","ALB",3013217853,3341043,"","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,11.26980007,31,837,15.0217935916542,21.8262743988286,6.80448080717441,0,0,0.0973904531347555
"2142",2000,"YR2000","Albania","ALB",3686649387,3304948,"","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,11.26980007,34,918,15.0109312974074,22.027983857291,7.0170525598836,0,0,-0.388180199769585
"2356",2004,"YR2004","Albania","ALB",7464446950,3216197,"","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,11.26980007,34,920,14.9837101636238,22.7334171794597,7.74970701583584,0,0,-0.0854915303054261
