"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"5780",2010,"YR2010","Albania","ALB",11858166295,3150143,"","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,11.26980007,15,258,14.9629584065968,23.196282605999,8.23332419940219,0,0,0.306030039780681
"5567",2006,"YR2006","Algeria","DZA",117026655314,34507214,"Algeria","Winter",2006,"Torino","Italy",0,0,0,0,0,1,0,0,22.57579114,15,252,17.3566789615922,25.485667568993,8.12898860740078,0,0,-0.395370042111126
"5781",2010,"YR2010","Algeria","DZA",161207304960,37062820,"Algeria","Winter",2010,"Vancouver","Canada",0,0,0,0,0,1,0,0,22.57579114,15,258,17.428124868749,25.8059569821212,8.3778321133722,0,0,-0.269694461606612
"3218",1964,"YR1964","Argentina","ARG",25605249382,21963952,"Argentina","Winter",1964,"Innsbruck","Austria",0,0,0,0,0,1,0,0,14.21522492,11,69,16.9049131219842,23.9660632213956,7.06115009941138,0,1,-1.21008998529947
"3432",1968,"YR1968","Argentina","ARG",26436857248,23269302,"Argentina","Winter",1968,"Grenoble","France",0,0,0,0,0,1,0,0,14.21522492,10,77,16.962645539126,23.998024981325,7.035379442199,0,1,-0.579857661119408
"3646",1972,"YR1972","Argentina","ARG",34733000536,24785830,"Argentina","Winter",1972,"Sapporo","Japan",0,0,0,0,0,1,0,0,14.21522492,10,67,17.0257826768729,24.2709560960545,7.24517341918167,0,0,0.465044865826478
"3860",1976,"YR1976","Argentina","ARG",51169499891,26483835,"Argentina","Winter",1976,"Innsbruck","Austria",0,0,0,0,0,1,0,0,14.21522492,10,54,17.0920451048308,24.6584094862351,7.56636438140434,0,0,0.215038153270592
"4074",1980,"YR1980","Argentina","ARG",76961923742,28120135,"Argentina","Winter",1980,"Lake Placid","United States",0,0,0,0,0,1,0,0,14.21522492,10,64,17.1519964257487,25.0665766396391,7.91458021389036,0,0,-0.432777091443408
"4288",1984,"YR1984","Argentina","ARG",79092001998,29886564,"Argentina","Winter",1984,"Sarajevo","Yugoslavia",0,0,0,0,0,1,0,0,14.21522492,10,57,17.2129195728179,25.0938775940667,7.8809580212488,0,0,0.0166421929173974
"4502",1988,"YR1988","Argentina","ARG",126206817196,31713147,"Argentina","Winter",1988,"Calgary","Canada",0,0,0,0,0,1,0,0,14.21522492,13,70,17.2722418847312,25.5611878045803,8.28894591984907,0,1,-0.507672779320515
"4716",1992,"YR1992","Argentina","ARG",228779382768,33520803,"Argentina","Winter",1992,"Albertville","France",0,0,0,0,0,1,0,0,14.21522492,14,145,17.3276767891385,26.1560239821122,8.82834719297368,0,1,-1.45976223291292
"4930",1994,"YR1994","Argentina","ARG",2.5744e+11,34399343,"Argentina","Winter",1994,"Lillehammer","Norway",0,0,0,0,0,1,0,0,14.21522492,12,183,17.353548023324,26.2740525201905,8.92050449686645,0,1,-0.687637718624772
"5144",1998,"YR1998","Argentina","ARG",298948250000,36109342,"Argentina","Winter",1998,"Nagano","Japan",0,0,0,0,0,1,0,0,14.21522492,14,205,17.4020621709885,26.4235363184345,9.02147414744601,0,1,-0.979770104505258
"5358",2002,"YR2002","Argentina","ARG",102040286874,37627545,"Argentina","Winter",2002,"Salt Lake City","United States",0,0,0,0,0,1,0,0,14.21522492,15,234,17.4432469199418,25.3486335416038,7.905386621662,0,1,-0.670631168968291
