Year,YearCode,Country Name,Country Code,GDP (current US$)
2004,YR2004,Afghanistan,AFG,5285461998.97866
2004,YR2004,Albania,ALB,7464446950.02559
2004,YR2004,Algeria,DZA,85324997369.5015
2004,YR2004,American Samoa,ASM,
2004,YR2004,Andorra,ADO,2322163502.26295
2004,YR2004,Angola,AGO,19640862549.6511
2004,YR2004,Antigua and Barbuda,ATG,905113766.533633
2004,YR2004,Argentina,ARG,153129509710.176
2004,YR2004,Armenia,ARM,3576615240.41616
2004,YR2004,Aruba,ABW,2228279329.60894
2004,YR2004,Australia,AUS,613161189358.372
2004,YR2004,Austria,AUT,291430382497.377
2004,YR2004,Azerbaijan,AZE,8680511918.49357
2004,YR2004,"Bahamas, The",BHS,7094413000
2004,YR2004,Bahrain,BHR,11235671061.4371
2004,YR2004,Bangladesh,BGD,56560744012.2303
2004,YR2004,Barbados,BRB,3509700000
2004,YR2004,Belarus,BLR,23141587717.7633
2004,YR2004,Belgium,BEL,361683211959.795
2004,YR2004,Belize,BLZ,1057850000
2004,YR2004,Benin,BEN,4050869967.79893
2004,YR2004,Bermuda,BMU,4484703000
2004,YR2004,Bhutan,BTN,702682018.270426
2004,YR2004,Bolivia,BOL,8773451738.91129
2004,YR2004,Bosnia and Herzegovina,BIH,10022840634.9206
2004,YR2004,Botswana,BWA,8957491784.92086
2004,YR2004,Brazil,BRA,663760341880.342
2004,YR2004,Brunei Darussalam,BRN,7872333197.25476
2004,YR2004,Bulgaria,BGR,25283228366.4529
2004,YR2004,Burkina Faso,BFA,4838551014.48553
2004,YR2004,Burundi,BDI,915257323.428255
2004,YR2004,Cambodia,KHM,5337833255.9454
2004,YR2004,Cameroon,CMR,15775356736.7031
2004,YR2004,Canada,CAN,992226099521.914
2004,YR2004,Cape Verde,CPV,1022562771.13513
2004,YR2004,Cayman Islands,CYM,
2004,YR2004,Central African Republic,CAF,1270080228.23241
2004,YR2004,Chad,TCD,4414929142.23367
2004,YR2004,Channel Islands,CHI,8553643354.08275
2004,YR2004,Chile,CHL,100630707851.859
2004,YR2004,China,CHN,1931644331142.47
2004,YR2004,Colombia,COL,117074865515.279
2004,YR2004,Comoros,COM,362420483.548684
2004,YR2004,"Congo, Dem. Rep.",ZAR,6511032844.18882
2004,YR2004,"Congo, Rep.",COG,4648628839.49057
2004,YR2004,Costa Rica,CRI,18596365926.8535
2004,YR2004,Cote d'Ivoire,CIV,15481092596.4757
2004,YR2004,Croatia,HRV,41003558915.6986
2004,YR2004,Cuba,CUB,38202800000
2004,YR2004,Curacao,CUW,
2004,YR2004,Cyprus,CYP,15816972050.6976
2004,YR2004,Czech Republic,CZE,113976672924.834
2004,YR2004,Denmark,DNK,244727978020.584
2004,YR2004,Djibouti,DJI,666072101.777505
2004,YR2004,Dominica,DMA,366976849.444881
2004,YR2004,Dominican Republic,DOM,22163928096.993
2004,YR2004,Ecuador,ECU,36591661000
2004,YR2004,"Egypt, Arab Rep.",EGY,78845185709.4117
2004,YR2004,El Salvador,SLV,15798300000
2004,YR2004,Equatorial Guinea,GNQ,5240842261.15571
2004,YR2004,Eritrea,ERI,1109054002.42096
2004,YR2004,Estonia,EST,12025943709.9948
2004,YR2004,Ethiopia,ETH,9954110936.45253
2004,YR2004,Faeroe Islands,FRO,1683997930.26322
2004,YR2004,Fiji,FJI,2727507212.92556
2004,YR2004,Finland,FIN,189064585622.668
2004,YR2004,France,FRA,2055678853687.46
2004,YR2004,French Polynesia,PYF,
2004,YR2004,Gabon,GAB,7178135606.41428
2004,YR2004,"Gambia, The",GMB,578785600.648136
2004,YR2004,Georgia,GEO,5125273877.24618
2004,YR2004,Germany,DEU,2726341472500.05
2004,YR2004,Ghana,GHA,8881419348.21594
2004,YR2004,Greece,GRC,227950420085.709
2004,YR2004,Greenland,GRL,1644951892.18151
2004,YR2004,Grenada,GRD,600014340.551513
2004,YR2004,Guam,GUM,
2004,YR2004,Guatemala,GTM,23965280312.0871
2004,YR2004,Guinea,GIN,3666349049.40435
2004,YR2004,Guinea-Bissau,GNB,522651787.703763
2004,YR2004,Guyana,GUY,785918769.749001
2004,YR2004,Haiti,HTI,3660483885.68707
2004,YR2004,Honduras,HND,8772167983.07235
2004,YR2004,"Hong Kong SAR, China",HKG,169099768875.193
2004,YR2004,Hungary,HUN,101925734602.027
2004,YR2004,Iceland,ISL,13251434311.4214
2004,YR2004,India,IND,721585608172.395
2004,YR2004,Indonesia,IDN,256836883304.553
2004,YR2004,"Iran, Islamic Rep.",IRN,163226579221.096
2004,YR2004,Iraq,IRQ,25509364916.0308
2004,YR2004,Ireland,IRL,186281307557.443
2004,YR2004,Isle of Man,IMY,2758117365.04863
2004,YR2004,Israel,ISR,126571173583.222
2004,YR2004,Italy,ITA,1735521503771.58
2004,YR2004,Jamaica,JAM,10173234921.1116
2004,YR2004,Japan,JPN,4655803055650.55
2004,YR2004,Jordan,JOR,11407566660.2844
2004,YR2004,Kazakhstan,KAZ,43151647002.6096
2004,YR2004,Kenya,KEN,16095321630.6659
2004,YR2004,Kiribati,KIR,102220914.840418
2004,YR2004,"Korea, Dem. Rep.",PRK,
2004,YR2004,"Korea, Rep.",KOR,721975255823.7
2004,YR2004,Kosovo,KSV,3639935347.50715
2004,YR2004,Kuwait,KWT,59440511981.7576
2004,YR2004,Kyrgyz Republic,KGZ,2211535311.62834
2004,YR2004,Lao PDR,LAO,2366398119.88556
2004,YR2004,Latvia,LVA,13761569544.9926
2004,YR2004,Lebanon,LBN,21789054726.3682
2004,YR2004,Lesotho,LSO,1234197704.43821
2004,YR2004,Liberia,LBR,466999999.999999
2004,YR2004,Libya,LBY,33384615384.6154
2004,YR2004,Liechtenstein,LIE,3454374260.73671
2004,YR2004,Lithuania,LTU,22551543054.4565
2004,YR2004,Luxembourg,LUX,34077095478.4477
2004,YR2004,"Macao SAR, China",MAC,10258324479.1391
2004,YR2004,"Macedonia, FYR",MKD,5514253043.38147
2004,YR2004,Madagascar,MDG,4363934416.54784
2004,YR2004,Malawi,MWI,2625127097.7198
2004,YR2004,Malaysia,MYS,124749736842.105
2004,YR2004,Maldives,MDV,1075605492.18297
2004,YR2004,Mali,MLI,4874178417.19164
2004,YR2004,Malta,MLT,5643525281.93441
2004,YR2004,Marshall Islands,MHL,131106365.539613
2004,YR2004,Mauritania,MRT,1833445283.01887
2004,YR2004,Mauritius,MUS,6385691315.22535
2004,YR2004,Mexico,MEX,774800766586.23
2004,YR2004,"Micronesia, Fed. Sts.",FSM,239563310.439243
2004,YR2004,Moldova,MDA,2598231467.43671
2004,YR2004,Monaco,MCO,4110348444.49411
2004,YR2004,Mongolia,MNG,1992066758.84423
2004,YR2004,Montenegro,MNE,2073255525.20487
2004,YR2004,Morocco,MAR,56948015336.0397
2004,YR2004,Mozambique,MOZ,5697991241.44882
2004,YR2004,Myanmar,MMR,
2004,YR2004,Namibia,NAM,6606970842.65234
2004,YR2004,Nepal,NPL,7273933992.74548
2004,YR2004,Netherlands,NLD,609889925685.869
2004,YR2004,New Caledonia,NCL,
2004,YR2004,New Zealand,NZL,102983802756.303
2004,YR2004,Nicaragua,NIC,5795568202.50505
2004,YR2004,Niger,NER,3052898685.69525
2004,YR2004,Nigeria,NGA,87845403978.2742
2004,YR2004,Northern Mariana Islands,MNP,
2004,YR2004,Norway,NOR,260029106207.989
2004,YR2004,Oman,OMN,24673602279.5173
2004,YR2004,Pakistan,PAK,97977766197.6724
2004,YR2004,Palau,PLW,190829015.31499
2004,YR2004,Panama,PAN,14179300000
2004,YR2004,Papua New Guinea,PNG,3927114456.84311
2004,YR2004,Paraguay,PRY,8033877459.1225
2004,YR2004,Peru,PER,69725009964.83
2004,YR2004,Philippines,PHL,91371236939.2189
2004,YR2004,Poland,POL,252768998589.254
2004,YR2004,Portugal,PRT,185397304327.851
2004,YR2004,Puerto Rico,PRI,79209000000
2004,YR2004,Qatar,QAT,31675273812.3988
2004,YR2004,Romania,ROM,75489440362.1003
2004,YR2004,Russian Federation,RUS,591016690742.937
2004,YR2004,Rwanda,RWA,2089188920.75355
2004,YR2004,Samoa,WSM,374507187.856928
2004,YR2004,San Marino,SMR,1317357834.61634
2004,YR2004,Sao Tome and Principe,STP,106764253.74548
2004,YR2004,Saudi Arabia,SAU,258742133333.333
2004,YR2004,Senegal,SEN,8031344239.66792
2004,YR2004,Serbia,SRB,23649854234.3966
2004,YR2004,Seychelles,SYC,839319935.206909
2004,YR2004,Sierra Leone,SLE,1431208677.30352
2004,YR2004,Singapore,SGP,109336483913.863
2004,YR2004,Sint Maarten (Dutch part),SXM,
2004,YR2004,Slovak Republic,SVK,56073225726.3472
2004,YR2004,Slovenia,SVN,33837749815.1716
2004,YR2004,Solomon Islands,SLB,375109694.525921
2004,YR2004,Somalia,SOM,
2004,YR2004,South Africa,ZAF,219092936699.386
2004,YR2004,South Sudan,SSD,
2004,YR2004,Spain,ESP,1044612070303.53
2004,YR2004,Sri Lanka,LKA,20662525941.2986
2004,YR2004,St. Kitts and Nevis,KNA,497548516.54631
2004,YR2004,St. Lucia,LCA,858255380.398219
2004,YR2004,St. Martin (French part),MAF,
2004,YR2004,St. Vincent and the Grenadines,VCT,522544701.882639
2004,YR2004,Sudan,SDN,21457886199.291
2004,YR2004,Suriname,SUR,1484092538.40527
2004,YR2004,Swaziland,SWZ,2420610578.59952
2004,YR2004,Sweden,SWE,362089648912.965
2004,YR2004,Switzerland,CHE,374224186243.667
2004,YR2004,Syrian Arab Republic,SYR,25086930693.0693
2004,YR2004,Tajikistan,TJK,2076148710.31813
2004,YR2004,Tanzania,TZA,12825801916.6063
2004,YR2004,Thailand,THA,161339790594.627
2004,YR2004,Timor-Leste,TMP,455500000
2004,YR2004,Togo,TGO,1937074537.93089
2004,YR2004,Tonga,TON,240794581.220982
2004,YR2004,Trinidad and Tobago,TTO,12884712295.9948
2004,YR2004,Tunisia,TUN,31183059012.4448
2004,YR2004,Turkey,TUR,392166274991.231
2004,YR2004,Turkmenistan,TKM,6838351088.46688
2004,YR2004,Turks and Caicos Islands,TCA,
2004,YR2004,Tuvalu,TUV,21535706.6386182
2004,YR2004,Uganda,UGA,7940362663.20133
2004,YR2004,Ukraine,UKR,64883060725.7003
2004,YR2004,United Arab Emirates,ARE,147824374542.517
2004,YR2004,United Kingdom,GBR,2220820974770.22
2004,YR2004,United States,USA,12277000000000
2004,YR2004,Uruguay,URY,13686333821.7864
2004,YR2004,Uzbekistan,UZB,12030023547.8807
2004,YR2004,Vanuatu,VUT,364996869.129618
2004,YR2004,"Venezuela, RB",VEN,112451400422.982
2004,YR2004,Vietnam,VNM,49424107709.8946
2004,YR2004,Virgin Islands (U.S.),VIR,
2004,YR2004,West Bank and Gaza,WBG,3606871947.80257
2004,YR2004,"Yemen, Rep.",YEM,13873500887.5612
2004,YR2004,Zambia,ZMB,5439176375.73615
