Time_Value,Time_ValueCode,Country_Name,Country_Code,"Population, total"
1960,YR1960,Afghanistan,AFG,8774440
1960,YR1960,Albania,ALB,1618829
1960,YR1960,Algeria,DZA,11277757
1960,YR1960,American Samoa,ASM,20012
1960,YR1960,Andorra,ADO,13414
1960,YR1960,Angola,AGO,4965988
1960,YR1960,Antigua and Barbuda,ATG,54681
1960,YR1960,Arab World,ARB,93485943
1960,YR1960,Argentina,ARG,20623998
1960,YR1960,Armenia,ARM,1867396
1960,YR1960,Aruba,ABW,54208
1960,YR1960,Australia,AUS,10276477
1960,YR1960,Austria,AUT,7047539
1960,YR1960,Azerbaijan,AZE,3897889
1960,YR1960,"Bahamas, The",BHS,109526
1960,YR1960,Bahrain,BHR,162501
1960,YR1960,Bangladesh,BGD,49537147
1960,YR1960,Barbados,BRB,230858
1960,YR1960,Belarus,BLR,8198000
1960,YR1960,Belgium,BEL,9153489
1960,YR1960,Belize,BLZ,92068
1960,YR1960,Benin,BEN,2431620
1960,YR1960,Bermuda,BMU,44400
1960,YR1960,Bhutan,BTN,224155
1960,YR1960,Bolivia,BOL,3353125
1960,YR1960,Bosnia and Herzegovina,BIH,3305501
1960,YR1960,Botswana,BWA,524173
1960,YR1960,Brazil,BRA,72775883
1960,YR1960,Brunei Darussalam,BRN,81817
1960,YR1960,Bulgaria,BGR,7867374
1960,YR1960,Burkina Faso,BFA,4829291
1960,YR1960,Burundi,BDI,2786740
1960,YR1960,Cambodia,KHM,5720019
1960,YR1960,Cameroon,CMR,5361367
1960,YR1960,Canada,CAN,17909009
1960,YR1960,Cape Verde,CPV,212247
1960,YR1960,Caribbean small states,CSS,4186973
1960,YR1960,Cayman Islands,CYM,7867
1960,YR1960,Central African Republic,CAF,1503501
1960,YR1960,Chad,TCD,3002596
1960,YR1960,Channel Islands,CHI,109419
1960,YR1960,Chile,CHL,7649026
1960,YR1960,China,CHN,667070000
1960,YR1960,Colombia,COL,16006395
1960,YR1960,Comoros,COM,190475
1960,YR1960,"Congo, Dem. Rep.",ZAR,15248246
1960,YR1960,"Congo, Rep.",COG,1013581
1960,YR1960,Costa Rica,CRI,1334044
1960,YR1960,Cote d'Ivoire,CIV,3474724
1960,YR1960,Croatia,HRV,4140000
1960,YR1960,Cuba,CUB,7141130
1960,YR1960,Curacao,CUW,
1960,YR1960,Cyprus,CYP,572929
1960,YR1960,Czech Republic,CZE,9602006
1960,YR1960,Denmark,DNK,4579603
1960,YR1960,Djibouti,DJI,83636
1960,YR1960,Dominica,DMA,60016
1960,YR1960,Dominican Republic,DOM,3311788
1960,YR1960,East Asia & Pacific (all income levels),EAS,1043390111
1960,YR1960,East Asia & Pacific (developing only),EAP,897346338
1960,YR1960,Ecuador,ECU,4514593
1960,YR1960,"Egypt, Arab Rep.",EGY,27997745
1960,YR1960,El Salvador,SLV,2772970
1960,YR1960,Equatorial Guinea,GNQ,252115
1960,YR1960,Eritrea,ERI,1404810
1960,YR1960,Estonia,EST,1215650
1960,YR1960,Ethiopia,ETH,22151218
1960,YR1960,Euro area,EMU,260334369
1960,YR1960,Europe & Central Asia (all income levels),ECS,667465571
1960,YR1960,Europe & Central Asia (developing only),ECA,165440477
1960,YR1960,European Union,EUU,409335859
1960,YR1960,Faeroe Islands,FRO,34266
1960,YR1960,Fiji,FJI,393383
1960,YR1960,Finland,FIN,4429634
1960,YR1960,France,FRA,46647521
1960,YR1960,French Polynesia,PYF,78083
1960,YR1960,Gabon,GAB,498823
1960,YR1960,"Gambia, The",GMB,367929
1960,YR1960,Georgia,GEO,3645600
1960,YR1960,Germany,DEU,72814900
1960,YR1960,Ghana,GHA,6652516
1960,YR1960,Greece,GRC,8331725
1960,YR1960,Greenland,GRL,32500
1960,YR1960,Grenada,GRD,89861
1960,YR1960,Guam,GUM,66741
1960,YR1960,Guatemala,GTM,4140636
1960,YR1960,Guinea,GIN,3576684
1960,YR1960,Guinea-Bissau,GNB,635956
1960,YR1960,Guyana,GUY,560296
1960,YR1960,Haiti,HTI,3869288
1960,YR1960,Heavily indebted poor countries (HIPC),HPC,161797003
1960,YR1960,High income,HIC,868515853
1960,YR1960,High income: OECD,OEC,710789301
1960,YR1960,High income: nonOECD,NOC,157726552
1960,YR1960,Honduras,HND,2002333
1960,YR1960,"Hong Kong SAR, China",HKG,3075605
1960,YR1960,Hungary,HUN,9983967
1960,YR1960,Iceland,ISL,175574
1960,YR1960,India,IND,449595489
1960,YR1960,Indonesia,IDN,88692697
1960,YR1960,"Iran, Islamic Rep.",IRN,21958460
1960,YR1960,Iraq,IRQ,7289759
1960,YR1960,Ireland,IRL,2828600
1960,YR1960,Isle of Man,IMY,48441
1960,YR1960,Israel,ISR,2114020
1960,YR1960,Italy,ITA,50199700
1960,YR1960,Jamaica,JAM,1629003
1960,YR1960,Japan,JPN,92500572
1960,YR1960,Jordan,JOR,844000
1960,YR1960,Kazakhstan,KAZ,9995997
1960,YR1960,Kenya,KEN,8105440
1960,YR1960,Kiribati,KIR,32970
1960,YR1960,"Korea, Dem. Rep.",PRK,11424179
1960,YR1960,"Korea, Rep.",KOR,25074152
1960,YR1960,Kosovo,KSV,947000
1960,YR1960,Kuwait,KWT,261994
1960,YR1960,Kyrgyz Republic,KGZ,2172300
1960,YR1960,Lao PDR,LAO,2119731
1960,YR1960,Latin America & Caribbean (all income levels),LCN,219689517
1960,YR1960,Latin America & Caribbean (developing only),LAC,205744891
1960,YR1960,Latvia,LVA,2120979
1960,YR1960,Least developed countries: UN classification,LDC,241273851
1960,YR1960,Lebanon,LBN,1804927
1960,YR1960,Lesotho,LSO,851412
1960,YR1960,Liberia,LBR,1120314
1960,YR1960,Libya,LBY,1428435
1960,YR1960,Liechtenstein,LIE,16504
